Min Dist,Classification
3.31943774,INF
3.31953049,INF
3.31953573,IND
3.32025647,INF
3.32087731,INF
3.32329488,INF
3.32405901,IND
3.32704711,INF
3.32762027,INF
3.32793808,INF
3.33165717,INF
3.33193564,INF
3.33241773,INF
3.33450437,INF
3.33497977,INF
3.33731103,INF
3.33841515,INF
3.33964753,INF
3.34062338,INF
3.34197021,INF
3.3437562,INF
3.34430623,INF
3.34565091,INF
3.34675026,INF
3.34873891,IND
3.34902978,INF
3.34946394,INF
3.35321951,INF
3.35337925,INF
3.35516143,INF
3.35553098,INF
3.3560946,INF
3.356915,INF
3.35824656,INF
3.35846353,INF
3.3593359,INF
3.35958362,INF
3.35971165,INF
3.36114359,INF
3.36257339,INF
3.36398864,INF
3.36421251,INF
3.36608386,INF
3.36621261,INF
3.36622071,IND
3.36702204,IND
3.36745262,INF
3.3677001,INF
3.36995029,INF
3.3707056,INF
3.37297463,IND
3.37432766,INF
3.37468171,INF
3.37495494,INF
3.37571263,INF
3.37634492,INF
3.38316894,INF
3.39041853,INF
3.39299893,INF
3.39299989,INF
3.39457202,INF
3.39757013,INF
3.39777923,INF
3.39809036,INF
3.3995471,INF
3.40293431,INF
3.40304065,INF
3.40340495,INF
3.40626717,INF
3.40753436,INF
3.40832186,INF
3.40888405,INF
3.413625,INF
3.41649508,INF
3.41762066,INF
3.41884327,INF
3.41895151,INF
3.42085171,INF
3.42209482,INF
3.42430377,IND
3.42632008,INF
